IdStudent;Name;LastName;Address;PostalCode;City;Phone;Email;Active;Genre;DateOfBirth;IdentificationNumber;ExpirationDateIn;TaxIdentificationNumber;Nationality;Birthplace;Photo;CoursesCount;TotalWorkHours;EnrollmentDate
1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;;01/01/1900;56871190;01/01/1900;56871190;German;Lisbon;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/moço.jpeg;0;0;11/04/2023
2;Bruno;Ferreira;99154 Smith Locks;11129;Burtonborough;004.692.6673x2084;scott47@example.com;True;Female;01/01/1900;20393446;01/01/1900;98288764853;German;Lisbon;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/retrato-real-da-pessoa-homem.jpg;0;0;01/01/1900
3;Catarina;Palma;5103 Hill Highway;38588;Melvinton;001-381-194-7797x186;shane19@example.net;True;Male;01/01/1900;96651936;01/01/1900;32673449095;German;Rome;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/moço.jpeg;0;0;01/01/1900
4;Claudia;Passarinho;21636 Jacob Burg Suite 151;74804;Kathyborough;(742)457-4796x662;walkersandra@example.org;False;Female;01/01/1900;83768980;01/01/1900;6015557799;French;Berlin;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/mulher-sorrindo.png;0;0;01/01/1900
5;Dário;Dias;6423 Taylor Oval Suite 995;38702;Sandersport;152.965.2097x3064;cyoung@example.com;False;Female;01/01/1900;3761333;01/01/1900;74426896039;French;Madrid;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/chefitz.png;0;0;01/01/1900
6;Diogo;Alves;818 Abbott Burgs Apt. 879;68024;Port Robertside;324.018.6096x9905;jasonthompson@example.com;False;Male;01/01/1900;84429162;01/01/1900;5806941693;Portuguese;Berlin;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/desenho-carvão.jpg;0;0;01/01/1900
7;Diogo;Santana;61735 Jessica Station Apt. 930;88288;Hollandton;406.525.9000x31147;russelllaurie@example.com;False;Female;01/01/1900;21866316;01/01/1900;84139219950;German;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/retrato-real-da-pessoa-nulher.jpg;0;0;01/01/1900
8;Duarte;Marques;91870 Henry Bypass;84397;West Julie;+1-326-065-8959x09290;tylerwiggins@example.com;True;Male;01/01/1900;15372102;01/01/1900;31358177019;German;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/retrato-real-da-pessoa-nulher.jpg;0;0;01/01/1900
9;Filipe;Baptista;2102 Owens Pine;87782;East Ashley;-10720;estradajennifer@example.com;True;Female;01/01/1900;71318755;01/01/1900;92341603030;German;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/john-lennon.png;0;0;01/01/1900
10;Joel;Santo Rangel;495 Zachary Square Apt. 770;5946;West Seanland;597-118-0309x8737;hollymunoz@example.com;True;Male;01/01/1900;83532618;01/01/1900;6408883316;Portuguese;Madrid;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/retrato-real-da-pessoa-homem.jpg;0;0;01/01/1900
11;Jorge;Pinto;2853 Amy Lane;83476;Courtneyburgh;498.224.9012;destinyhill@example.com;True;Male;01/01/1900;37392202;01/01/1900;28886956733;Portuguese;Berlin;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/moço.jpeg;0;0;01/01/1900
12;Láercio;Rodrigues;9836 Lori Road;83462;Swansonburgh;174.661.9625x1723;joelwilliams@example.com;False;Female;01/01/1900;30325023;01/01/1900;50199425357;Portuguese;Berlin;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/mulher-sorrindo.png;0;0;01/01/1900
13;Licínio;Rosário;98068 Elizabeth Bridge Suite 201;66517;East Elizabethmouth;726.506.0418x540;david39@example.net;False;Male;01/01/1900;81620614;01/01/1900;93525721904;German;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/john-lennon.png;0;0;01/01/1900
14;Luis;Leopoldo;892 Brent Villages;81886;Port Maryhaven;001-986-037-1949x33710;bentonnicole@example.net;False;Male;01/01/1900;1344333;01/01/1900;93542584314;German;Lisbon;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/mulher-sorrindo.png;0;0;01/01/1900
