TeacherId;Name;LastName;Address;PostalCode;City;Phone;Email;Active;Genre;DateOfBirth;IdentificationNumber;ExpirationDateIn;TaxIdentificationNumber;Nationality;Birthplace;Photo;CoursesCount;TotalWorkHours
1;Ribeiro;Ana;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;;01/01/1900;56871190;01/01/1900;56871190;German;Lisbon;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/moço.jpeg;0;450
2;Ferreira;Bruno;99154 Smith Locks;11129;Burtonborough;004.692.6673x2084;scott47@example.com;True;Female;01/01/1900;20393446;01/01/1900;98288764853;German;Lisbon;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/retrato-real-da-pessoa-homem.jpg;0;775
3;Palma;Catarina;5103 Hill Highway;38588;Melvinton;001-381-194-7797x186;shane19@example.net;True;Male;01/01/1900;96651936;01/01/1900;32673449095;German;Rome;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/moço.jpeg;0;775
4;Passarinho;Claudia;21636 Jacob Burg Suite 151;74804;Kathyborough;(742)457-4796x662;walkersandra@example.org;False;Female;01/01/1900;83768980;01/01/1900;6015557799;French;Berlin;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/mulher-sorrindo.png;0;300
5;Dias;Dário;6423 Taylor Oval Suite 995;38702;Sandersport;152.965.2097x3064;cyoung@example.com;False;Female;01/01/1900;3761333;01/01/1900;74426896039;French;Madrid;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/chefitz.png;0;31666
6;Alves;Diogo;818 Abbott Burgs Apt. 879;68024;Port Robertside;324.018.6096x9905;jasonthompson@example.com;False;Male;01/01/1900;84429162;01/01/1900;5806941693;Portuguese;Berlin;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/desenho-carvão.jpg;0;31616
7;Santana;Diogo;61735 Jessica Station Apt. 930;88288;Hollandton;406.525.9000x31147;russelllaurie@example.com;False;Female;01/01/1900;21866316;01/01/1900;84139219950;German;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/retrato-real-da-pessoa-nulher.jpg;0;31566
8;Marques;Duarte;91870 Henry Bypass;84397;West Julie;+1-326-065-8959x09290;tylerwiggins@example.com;True;Male;01/01/1900;15372102;01/01/1900;31358177019;German;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/retrato-real-da-pessoa-nulher.jpg;0;31666
9;Baptista;Filipe;2102 Owens Pine;87782;East Ashley;-10720;estradajennifer@example.com;True;Female;01/01/1900;71318755;01/01/1900;92341603030;German;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/john-lennon.png;0;31266
10;Santo Rangel;Joel;495 Zachary Square Apt. 770;5946;West Seanland;597-118-0309x8737;hollymunoz@example.com;True;Male;01/01/1900;83532618;01/01/1900;6408883316;Portuguese;Madrid;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/retrato-real-da-pessoa-homem.jpg;0;15475
11;Pinto;Jorge;2853 Amy Lane;83476;Courtneyburgh;498.224.9012;destinyhill@example.com;True;Male;01/01/1900;37392202;01/01/1900;28886956733;Portuguese;Berlin;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/moço.jpeg;0;31236
12;Rodrigues;Láercio;9836 Lori Road;83462;Swansonburgh;174.661.9625x1723;joelwilliams@example.com;False;Female;01/01/1900;30325023;01/01/1900;50199425357;Portuguese;Berlin;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/mulher-sorrindo.png;0;27816
13;Rosário;Licínio;98068 Elizabeth Bridge Suite 201;66517;East Elizabethmouth;726.506.0418x540;david39@example.net;False;Male;01/01/1900;81620614;01/01/1900;93525721904;German;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/john-lennon.png;0;30390
14;Leopoldo;Luis;892 Brent Villages;81886;Port Maryhaven;001-986-037-1949x33710;bentonnicole@example.net;False;Male;01/01/1900;1344333;01/01/1900;93542584314;German;Lisbon;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/mulher-sorrindo.png;0;31511
15;Patricio;Luis;3181 Jennifer Spurs;57971;Wendychester;-6321;courtneyhunter@example.net;False;Male;01/01/1900;50022465;01/01/1900;97462917358;Spanish;Madrid;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/mulher-sorrindo.png;0;31636
16;Cristina;Maria;7694 Martinez Trace Suite 689;85265;Mortonville;381.174.6287;rachel23@example.net;False;Male;01/01/1900;18174557;01/01/1900;82008108895;Italian;Lisbon;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/moço.jpeg;0;30191
17;Oliveira;Mariana;0876 Jonathan Burg Apt. 342;36661;Duncanside;001-779-241-0072x9860;luke55@example.org;True;Male;01/01/1900;2522958;01/01/1900;8590979204;Spanish;Madrid;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/el che.jpg;0;31491
18;Leite;Mariana;772 George Neck;11319;North Jeffreyfurt;553-298-2711x7474;austin24@example.com;False;Male;01/01/1900;29052319;01/01/1900;96719934542;German;Berlin;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/el che.jpg;0;31641
19;Vilhena Santos;Nuno;75604 Nichole Lock Suite 150;41418;Aaronport;+1-477-046-5663x735;wolsen@example.org;False;Female;01/01/1900;12290043;01/01/1900;91270226794;German;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/mulher-sorrindo.png;0;31666
20;Silva;Pedro;026 Michelle Hills Suite 314;27582;New Aprilport;(167)080-7957x0981;davidlewis@example.net;False;Male;01/01/1900;53430635;01/01/1900;92657424644;German;Lisbon;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/mulher-sorrindo.png;0;29666
21;Souza;Reinaldo;789 Mendoza Ridges Apt. 887;66795;Ravenport;+1-923-515-6988x30742;uholt@example.org;True;Female;01/01/1900;25132938;01/01/1900;2275003520;French;Berlin;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/el che.jpg;0;800
22;Correia;Ruben;5452 Harris Walks Suite 938;10637;South Shane;(812)502-4499;mmorris@example.org;False;Male;01/01/1900;96260907;01/01/1900;27664254425;German;Lisbon;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/desenho-carvão.jpg;0;800
23;André;Simão;10527 George Place;32267;New Amandamouth;(743)156-5706;xarmstrong@example.org;False;Male;01/01/1900;23173855;01/01/1900;73045286888;Spanish;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/moço.jpeg;0;175
24;Avellar;Tatiane;0925 Katherine Stravenue Apt. 073;26616;Wendymouth;5609313641;dunnjerry@example.net;True;Female;01/01/1900;52681748;01/01/1900;33621697653;French;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/el che.jpg;0;175
25;-----------;-----------;68611 Smith Extension Apt. 000;41317;Gregoryshire;(394)100-6834;alicedixon@example.net;False;Male;01/01/1900;54937773;01/01/1900;67567186228;French;Lisbon;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/moço.jpeg;0;25
26;Santo Rangel;Joel;646 Bishop Mills;53855;Bakerborough;391496078;huffmantara@example.org;False;Male;01/01/1900;39238558;01/01/1900;84006173652;Italian;Paris;C:/Users/nunov/Downloads/Rafael - Formador/Retratos/chefitz.png;0;0
