IdEnrollment;Grade;StudentId;IdStudent;Name;LastName;Address;PostalCode;City;Phone;Email;Active;Genre;DateOfBirth;IdentificationNumber;ExpirationDateIn;TaxIdentificationNumber;Nationality;Birthplace;Photo;CoursesCount;TotalWorkHoursLoad;EnrollmentDate;CourseId;IdCourse;Name;WorkLoad;Credits;StudentsCount
1;1;1;1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;Female;01/01/0001;56871190;01/01/0001;6280398466;German;Lisbon;C:\Users\user\Documents\photos\1.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;01/01/0001;1;1;Língua Portuguesa;50;50;0
2;1;1;1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;Female;01/01/0001;56871190;01/01/0001;6280398466;German;Lisbon;C:\Users\user\Documents\photos\1.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;01/01/0001;1;1;Língua Portuguesa;50;50;0
3;1;1;1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;Female;01/01/0001;56871190;01/01/0001;6280398466;German;Lisbon;C:\Users\user\Documents\photos\1.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;01/01/0001;1;1;Língua Portuguesa;50;50;0
4;1;1;1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;Female;01/01/0001;56871190;01/01/0001;6280398466;German;Lisbon;C:\Users\user\Documents\photos\1.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;01/01/0001;1;1;Língua Portuguesa;50;50;0
5;1;1;1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;Female;01/01/0001;56871190;01/01/0001;6280398466;German;Lisbon;C:\Users\user\Documents\photos\1.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;01/01/0001;1;1;Língua Portuguesa;50;50;0
6;1;1;1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;Female;01/01/0001;56871190;01/01/0001;6280398466;German;Lisbon;C:\Users\user\Documents\photos\1.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;01/01/0001;1;1;Língua Portuguesa;50;50;0
7;1;1;1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;Female;01/01/0001;56871190;01/01/0001;6280398466;German;Lisbon;C:\Users\user\Documents\photos\1.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;01/01/0001;1;1;Língua Portuguesa;50;50;0
8;1;1;1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;Female;01/01/0001;56871190;01/01/0001;6280398466;German;Lisbon;C:\Users\user\Documents\photos\1.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;01/01/0001;1;1;Língua Portuguesa;50;50;0
9;1;1;1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;Female;01/01/0001;56871190;01/01/0001;6280398466;German;Lisbon;C:\Users\user\Documents\photos\1.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;01/01/0001;1;1;Língua Portuguesa;50;50;0
10;1;1;1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;Female;01/01/0001;56871190;01/01/0001;6280398466;German;Lisbon;C:\Users\user\Documents\photos\1.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;01/01/0001;1;1;Língua Portuguesa;50;50;0
